time,wave_elevation
58.7,1.00102
58.8,1.06093
58.9,1.07524
59.0,1.04881
59.1,0.992946
59.2,0.923653
59.3,0.859061
59.4,0.816449
59.5,0.809378
59.6,0.845245
59.7,0.923755
59.8,1.03641
59.9,1.16732
60.0,1.29497
60.1,1.39496
60.2,1.44323
60.3,1.41929
60.4,1.30909
60.5,1.10716
60.6,0.817534
60.7,0.453715
60.8,0.0372156
60.9,-0.404648
61.0,-0.841817
61.1,-1.24466
61.2,-1.58714
61.3,-1.84928
61.4,-2.01899
61.5,-2.0927
61.6,-2.07516
61.7,-1.97816
61.8,-1.81863
61.9,-1.61635
62.0,-1.39155
62.1,-1.1628
62.2,-0.945355
62.3,-0.750186
62.4,-0.583714
62.5,-0.448138
62.6,-0.342343
62.7,-0.263025
62.8,-0.205951
62.9,-0.167042
63.0,-0.143169
63.1,-0.132569
63.2,-0.1348
63.3,-0.150405
63.4,-0.180271
63.5,-0.224927
63.6,-0.283908
63.7,-0.355232
63.8,-0.435225
63.9,-0.518609
64.0,-0.59886
64.1,-0.668789
64.2,-0.721226
64.3,-0.749697
64.4,-0.749012
64.5,-0.715662
64.6,-0.648001
64.7,-0.546267
64.8,-0.412393
64.9,-0.249767
65.0,-0.0629616
65.1,0.142491
65.2,0.360246
65.3,0.583207
65.4,0.803559
65.5,1.01279
65.6,1.20182
65.7,1.3612
65.8,1.48167
65.9,1.55477
66.0,1.57365
66.1,1.53404
66.2,1.435
66.3,1.2797
66.4,1.07562
66.5,0.834538
66.6,0.571824
66.7,0.305436
66.8,0.0543023
66.9,-0.163414
67.0,-0.332144
67.1,-0.440541
67.2,-0.482743
67.3,-0.45905
67.4,-0.375906
67.5,-0.245151
67.6,-0.0826581
67.7,0.0934917
67.8,0.265089
67.9,0.41589
68.0,0.533332
68.1,0.609798
68.2,0.643098
68.3,0.636323
68.4,0.596899
68.5,0.535109
68.6,0.462283
68.7,0.388919
68.8,0.323027
68.9,0.268894
69.0,0.226524
69.1,0.191774
69.2,0.157214
69.3,0.113491
69.4,0.051102
69.5,-0.0377751
69.6,-0.157646
69.7,-0.308496
69.8,-0.485249
69.9,-0.677948
70.0,-0.872629
70.1,-1.05289
70.2,-1.20178
70.3,-1.3039
70.4,-1.3474
70.5,-1.32554
70.6,-1.23769
70.7,-1.08959
70.8,-0.892853
70.9,-0.663828
71.0,-0.421829
71.1,-0.187196
71.2,0.0208368
71.3,0.186015
71.4,0.29655
71.5,0.346052
71.6,0.333805
71.7,0.264433
71.8,0.147051
71.9,-0.0060327
72.0,-0.180784
72.1,-0.362947
72.2,-0.539373
72.3,-0.699114
72.4,-0.834051
72.5,-0.939212
72.6,-1.0126
72.7,-1.05479
72.8,-1.06831
72.9,-1.05694
73.0,-1.02495
73.1,-0.976552
73.2,-0.915465
73.3,-0.844621
73.4,-0.766127
73.5,-0.681305
73.6,-0.590883
73.7,-0.49521
73.8,-0.394429
73.9,-0.288671
74.0,-0.178141
74.1,-0.0632122
74.2,0.0556037
74.3,0.177659
74.4,0.302213
74.5,0.42843
74.6,0.555394
74.7,0.68202
74.8,0.807099
74.9,0.929202
75.0,1.04668
75.1,1.1577
75.2,1.26031
75.3,1.35255
75.4,1.43266
75.5,1.49921
75.6,1.55131
75.7,1.58871
75.8,1.61195
75.9,1.62233
76.0,1.62181
76.1,1.61297
76.2,1.59867
76.3,1.58189
76.4,1.56545
76.5,1.5517
76.6,1.54235
76.7,1.53822
76.8,1.53913
76.9,1.54384
77.0,1.54999
77.1,1.55422
77.2,1.55216
77.3,1.53873
77.4,1.5083
77.5,1.45505
77.6,1.37328
77.7,1.25795
77.8,1.10505
77.9,0.912137
78.0,0.678802
78.1,0.406944
78.2,0.101066
78.3,-0.231752
78.4,-0.582072
78.5,-0.938537
78.6,-1.28857
78.7,-1.61919
78.8,-1.91802
78.9,-2.17432
79.0,-2.37979
79.1,-2.52933
79.2,-2.62135
79.3,-2.65789
79.4,-2.64425
79.5,-2.58833
79.6,-2.4997
79.7,-2.38851
79.8,-2.26435
79.9,-2.13535
80.0,-2.00734
80.1,-1.88353
80.2,-1.76447
80.3,-1.64849
80.4,-1.53229
80.5,-1.41197
80.6,-1.28386
80.7,-1.14557
80.8,-0.996484
80.9,-0.838193
81.0,-0.674391
81.1,-0.51043
81.2,-0.352612
81.3,-0.207184
81.4,-0.0793606
81.5,0.0275628
81.6,0.112801
81.7,0.178339
81.8,0.228767
81.9,0.270644
82.0,0.311563
82.1,0.35905
82.2,0.419292
82.3,0.4962
82.4,0.590607
82.5,0.700033
82.6,0.818809
82.7,0.938782
82.8,1.05037
82.9,1.14386
83.0,1.21075
83.1,1.24502
83.2,1.24398
83.3,1.20879
83.4,1.14433
83.5,1.05864
83.6,0.961894
83.7,0.865021
83.8,0.778348
83.9,0.710176
84.0,0.66577
84.1,0.646729
84.2,0.650876
84.3,0.672651
84.4,0.703974
84.5,0.735426
84.6,0.757575
84.7,0.762216
84.8,0.743395
84.9,0.698056
85.0,0.62626
85.1,0.530851
85.2,0.416834
85.3,0.290378
85.4,0.157796
85.5,0.024465
85.6,-0.10588
85.7,-0.231594
85.8,-0.353137
85.9,-0.472708
86.0,-0.59346
86.1,-0.718621
86.2,-0.850439
86.3,-0.9894
86.4,-1.13366
86.5,-1.27877
86.6,-1.41807
86.7,-1.54323
86.8,-1.64532
86.9,-1.71597
87.0,-1.74856
87.1,-1.73921
87.2,-1.68747
87.3,-1.59652
87.4,-1.47291
87.5,-1.32582
87.6,-1.16584
87.7,-1.00369
87.8,-0.848718
87.9,-0.707617
88.0,-0.583526
88.1,-0.475464
88.2,-0.378456
88.3,-0.284099
88.4,-0.181611
88.5,-0.0592953
88.6,0.0938927
88.7,0.286754
88.8,0.524522
88.9,0.807905
89.0,1.13263
89.1,1.48952
89.2,1.86511
89.3,2.24272
89.4,2.60395
89.5,2.93016
89.6,3.20411
89.7,3.41133
89.8,3.54117
89.9,3.58769
90.0,3.54966
90.1,3.43058
90.2,3.23801
90.3,2.98276
90.4,2.67782
90.5,2.33726
90.6,1.97514
90.7,1.60465
90.8,1.23735
90.9,0.882678
91.0,0.547746
91.1,0.237338
91.2,-0.0458355
91.3,-0.300842
91.4,-0.528135
91.5,-0.729049
91.6,-0.905422
91.7,-1.05921
91.8,-1.19226
91.9,-1.30618
92.0,-1.40223
92.1,-1.48138
92.2,-1.54443
92.3,-1.59216
92.4,-1.62545
92.5,-1.64547
92.6,-1.65376
92.7,-1.65225
92.8,-1.64327
92.9,-1.62938
93.0,-1.61328
93.1,-1.59749
93.2,-1.58412
93.3,-1.57469
93.4,-1.56976
93.5,-1.56895
93.6,-1.57077
93.7,-1.5727
93.8,-1.57138
93.9,-1.5629
94.0,-1.54309
94.1,-1.50801
94.2,-1.45434
94.3,-1.37978
94.4,-1.2833
94.5,-1.16547
94.6,-1.02838
94.7,-0.875677
94.8,-0.712299
94.9,-0.544127
95.0,-0.377604
95.1,-0.219233
95.2,-0.0751285
95.3,0.0494376
95.4,0.150449
95.5,0.225411
95.6,0.27353
95.7,0.295797
95.8,0.294955
95.9,0.275343
96.0,0.242652
96.1,0.203568
96.2,0.16536
96.3,0.135409
96.4,0.120629
96.5,0.126939
96.6,0.158687
96.7,0.218132
96.8,0.305034
96.9,0.416417
97.0,0.54644
97.1,0.686604
97.2,0.82615
97.3,0.952811
97.4,1.05372
97.5,1.11652
97.6,1.13059
97.7,1.08824
97.8,0.985669
97.9,0.823779
98.0,0.608512
98.1,0.350694
98.2,0.0655087
98.3,-0.22861
98.4,-0.511478
98.5,-0.762844
98.6,-0.964161
98.7,-1.10034
98.8,-1.16115
98.9,-1.14219
99.0,-1.04524
99.1,-0.878113
99.2,-0.653761
99.3,-0.388982
99.4,-0.102687
99.5,0.185948
99.6,0.45937
99.7,0.703119
99.8,0.907116
99.9,1.06628
100.0,1.18049
100.1,1.25411
100.2,1.29492
100.3,1.31278
100.4,1.31814
100.5,1.32051
100.6,1.32727
100.7,1.34276
100.8,1.3679
100.9,1.40024
101.0,1.43449
101.1,1.46344
101.2,1.47905
101.3,1.47364
101.4,1.441
101.5,1.37725
101.6,1.28141
101.7,1.15557
101.8,1.00466
101.9,0.836001
102.0,0.658451
102.1,0.481522
102.2,0.314453
102.3,0.165353
102.4,0.0404493
102.5,-0.0562925
102.6,-0.123469
102.7,-0.162164
102.8,-0.175702
102.9,-0.169271
103.0,-0.149398
103.1,-0.123325
103.2,-0.0984438
103.3,-0.081733
103.4,-0.0792843
103.5,-0.0958215
103.6,-0.13444
103.7,-0.196356
103.8,-0.280802
103.9,-0.385082
104.0,-0.504701
104.1,-0.633675
104.2,-0.764943
104.3,-0.89095
104.4,-1.00423
104.5,-1.09812
104.6,-1.16735
104.7,-1.20858
104.8,-1.22083
104.9,-1.20561
105.0,-1.1668
105.1,-1.11032
105.2,-1.04355
105.3,-0.97451
105.4,-0.910989
105.5,-0.85969
105.6,-0.82545
105.7,-0.810658
105.8,-0.815001
105.9,-0.835525
106.0,-0.866949
106.1,-0.902312
106.2,-0.933819
106.3,-0.953718
106.4,-0.955215
106.5,-0.933164
106.6,-0.884633
106.7,-0.809102
106.8,-0.708385
106.9,-0.586353
107.0,-0.448337
107.1,-0.300579
107.2,-0.149566
107.3,-0.00147904
107.4,0.138169
107.5,0.264784
107.6,0.374641
107.7,0.464767
107.8,0.532734
107.9,0.576423
108.0,0.593874
108.1,0.583285
108.2,0.54318
108.3,0.472705
108.4,0.372054
108.5,0.242972
108.6,0.0890814
108.7,-0.0838231
108.8,-0.267831
108.9,-0.453217
109.0,-0.629059
109.1,-0.784085
109.2,-0.907664
109.3,-0.990876
109.4,-1.02744
109.5,-1.01441
109.6,-0.95243
109.7,-0.84576
109.8,-0.701686
109.9,-0.529679
110.0,-0.340345
110.1,-0.144141
110.2,0.049644
110.3,0.233849
110.4,0.403956
110.5,0.558195
110.6,0.697293
110.7,0.823707
110.8,0.94081
110.9,1.05186
111.0,1.15908
111.1,1.26299
111.2,1.36206
111.3,1.45278
111.4,1.53013
111.5,1.58833
111.6,1.62181
111.7,1.62615
111.8,1.59894
111.9,1.54023
112.0,1.45279
112.1,1.34168
112.2,1.21374
112.3,1.07662
112.4,0.937723
112.5,0.803283
112.6,0.677564
112.7,0.562496
112.8,0.457675
112.9,0.360816
113.0,0.268488
113.1,0.177144
113.2,0.0841141
113.3,-0.0115816
113.4,-0.108658
113.5,-0.203559
113.6,-0.290788
113.7,-0.363757
113.8,-0.415855
113.9,-0.441769
114.0,-0.438539
114.1,-0.406419
114.2,-0.349216
114.3,-0.274066
114.4,-0.190635
114.5,-0.109816
114.6,-0.042176
114.7,0.00370658
114.8,0.0226675
114.9,0.0139442
115.0,-0.018534
115.1,-0.0665088
115.2,-0.118572
115.3,-0.16185
115.4,-0.184102
115.5,-0.175797
115.6,-0.131987
115.7,-0.053483
